"ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Dosedel S.","Ljubicic I.","63","77","6","4","6","2","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Enqvist T.","Clement A.","5","56","6","3","6","3","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Escude N.","Baccanello P.","40","655","6","7","7","5","6","3","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Federer R.","Knippschild J.","65","87","6","1","6","4","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Fromberg R.","Woodbridge T.","81","198","7","6","5","7","6","4","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Gambill J.M.","Arthurs W.","58","105","3","6","7","6","6","4","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Grosjean S.","Ilie A.","26","51","6","2","6","1","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Henman T.","Balcells J.","11","218","6","4","7","6","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Hewitt L.","Woodforde M.","24","129","6","3","2","6","6","1","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Lisnard J.","Tebbutt M.","134","351","7","6","6","7","6","4","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Martin A.","Spadea V.","55","21","6","2","6","2","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Norman M.","Draper S.","15","155","6","4","6","4","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Petrovic D.","Huet S.","208","122","3","6","6","3","6","3","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Sekulov J.","Pozzi G.","142","79","6","4","2","6","6","2","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Stoltenberg J.","Hrbaty D.","84","20","6","3","6","1","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","1st Round","3","Vinck C.","Goldstein P.","227","88","3","6","6","3","6","4","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","2nd Round","3","Enqvist T.","Federer R.","5","65","7","6","6","4","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","2nd Round","3","Escude N.","Dosedel S.","40","63","7","6","6","4","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","2nd Round","3","Grosjean S.","Gambill J.M.","26","58","3","6","7","6","6","2","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","2nd Round","3","Henman T.","Lisnard J.","11","134","3","6","6","4","6","2","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","2nd Round","3","Hewitt L.","Petrovic D.","24","208","6","0","6","2","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","2nd Round","3","Martin A.","Sekulov J.","55","142","7","6","7","6","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","2nd Round","3","Norman M.","Fromberg R.","15","81","7","5","6","4","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","2nd Round","3","Stoltenberg J.","Vinck C.","84","227","3","6","6","4","6","4","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Enqvist T.","Grosjean S.","5","26","7","6","7","5","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Escude N.","Henman T.","40","11","6","3","6","1","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Hewitt L.","Stoltenberg J.","24","84","6","2","6","2","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Norman M.","Martin A.","15","55","6","4","6","3","","","","","","","2","0","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","Semifinals","3","Enqvist T.","Norman M.","5","15","3","6","6","2","6","2","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","Semifinals","3","Hewitt L.","Escude N.","24","40","3","6","6","1","6","4","","","","","2","1","Completed"
"1","Adelaide","Australian Hardcourt Championships","01/03/2000","International","Outdoor","Hard","The Final","3","Hewitt L.","Enqvist T.","24","5","3","6","6","3","6","2","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Agenor R.","Kumar S.","94","1198","6","4","6","4","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Behrend T.","Popp A.","116","124","6","4","4","6","6","1","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Damm M.","Rochus C.","104","120","6","3","6","0","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Delgado J.","Black B.","162","67","6","2","7","6","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Golmard J.","Spottl M.","38","200","6","3","6","4","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Hantschk M.","Tieleman L.","128","89","7","6","6","3","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Jonsson F.","Kroslak J.","127","103","6","3","6","3","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Ketola T.","Ogorodov O.","163","135","7","5","4","6","6","4","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Manta L.","Zib T.","117","115","7","5","6","2","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Paes L.","Boutter J.","145","137","6","4","7","6","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Pioline C.","Ram A.","14","414","6","3","6","1","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Sanguinetti D.","Voinea A.","121","100","7","6","6","4","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Stanoytchev O.","Kilderry P.","111","342","6","4","7","6","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Tabara M.","Kafelnikov Y.","125","2","6","4","6","2","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Vanek J.","Ishii Y.","160","238","6","3","6","4","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Vinciguerra A.","Lopez-Moron A.","99","113","6","4","6","2","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Damm M.","Agenor R.","104","94","4","6","6","2","6","1","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Delgado J.","Stanoytchev O.","162","111","4","6","6","2","6","3","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Golmard J.","Jonsson F.","38","127","6","2","6","3","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Hantschk M.","Behrend T.","128","116","6","3","4","6","6","3","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Ketola T.","Vanek J.","163","160","4","6","6","4","6","4","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Manta L.","Tabara M.","117","125","6","4","6","3","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Pioline C.","Paes L.","14","145","6","3","6","4","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Sanguinetti D.","Vinciguerra A.","121","99","2","6","7","5","6","3","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Damm M.","Manta L.","104","117","6","4","6","4","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Golmard J.","Delgado J.","38","162","6","3","6","4","","","","","","","2","0","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Hantschk M.","Ketola T.","128","163","5","7","7","5","6","2","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Pioline C.","Sanguinetti D.","14","121","3","6","6","4","7","6","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","Semifinals","3","Golmard J.","Damm M.","38","104","3","6","6","3","6","3","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","Semifinals","3","Hantschk M.","Pioline C.","128","14","6","4","2","6","7","6","","","","","2","1","Completed"
"2","Chennai","Gold Flake Open","01/03/2000","International","Outdoor","Hard","The Final","3","Golmard J.","Hantschk M.","38","128","6","3","6","7","6","3","","","","","2","1","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Bastl G.","Novak J.","85","36","6","4","7","5","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Berasategui A.","Al-Alawi S.K.","60","NR","6","3","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Caratti C.","Heuberger I.","211","219","7","6","4","6","6","4","","","","","2","1","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Cherkasov A.","Arazi H.","206","35","6","2","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","El Aynaoui Y.","Dupuis A.","33","78","4","6","6","3","6","2","","","","","2","1","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Gaudio G.","Luxa P.","73","174","4","6","6","0","6","2","","","","","2","1","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Kiefer N.","Tarango J.","6","59","7","6","7","6","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Marin J.A.","Mantilla F.","71","25","6","1","","","","","","","","","1","0","Retired"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Mirnyi M.","Puerta M.","74","101","7","5","6","2","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Santoro F.","Burgsmuller L.","32","138","6","4","6","1","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Schalken S.","Diaz J.","44","86","7","5","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Schuettler R.","Sanchez J.","47","285","6","2","7","6","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Squillari F.","Siemerink J.","49","93","6","2","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Tillstrom M.","Ivanisevic G.","83","62","7","6","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","Vacek D.","Vicente F.","39","50","0","6","6","3","6","4","","","","","2","1","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","1st Round","3","van Lottum J.","Blanco G.","69","76","6","4","0","1","","","","","","","1","0","Retired"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Bastl G.","Berasategui A.","85","60","6","3","6","1","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","El Aynaoui Y.","Gaudio G.","33","73","6","4","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Kiefer N.","Caratti C.","6","211","6","1","6","1","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Mirnyi M.","Marin J.A.","74","71","6","0","6","1","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Santoro F.","van Lottum J.","32","69","7","6","6","1","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Schalken S.","Squillari F.","44","49","4","6","6","1","6","1","","","","","2","1","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Schuettler R.","Vacek D.","47","39","6","3","6","2","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","2nd Round","3","Tillstrom M.","Cherkasov A.","83","206","7","6","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","El Aynaoui Y.","Tillstrom M.","33","83","7","5","6","3","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Kiefer N.","Schalken S.","6","44","6","1","6","0","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Santoro F.","Bastl G.","32","85","6","2","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","Quarterfinals","3","Schuettler R.","Mirnyi M.","47","74","6","3","6","2","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","Semifinals","3","Santoro F.","Kiefer N.","32","6","7","5","6","4","","","","","","","2","0","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","Semifinals","3","Schuettler R.","El Aynaoui Y.","47","33","6","7","6","4","6","4","","","","","2","1","Completed"
"3","Doha","Qatar Open","01/03/2000","International","Outdoor","Hard","The Final","3","Santoro F.","Schuettler R.","32","47","3","6","7","5","3","0","","","","","1","1","Retired"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Balcells J.","Squillari F.","211","49","7","5","7","5","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Behrend T.","Hantschk M.","115","95","6","2","6","2","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Chang M.","Black B.","50","70","7","5","4","6","7","6","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Ferrero J.C.","Federer R.","45","61","6","4","6","4","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Gambill J.M.","Fromberg R.","57","80","4","6","6","3","6","4","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Gaudio G.","Sargsian S.","72","52","7","5","4","6","7","5","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Gustafsson M.","Nielsen M.","60","246","6","4","6","4","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Haas T.","Tarango J.","11","63","7","5","4","6","7","5","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Johansson T.","Weiner G.","43","334","7","6","6","1","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Martin A.","Berasategui A.","48","59","6","3","6","1","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Norman M.","Costa F.","14","149","7","5","6","4","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Novak J.","Bjorkman J.","38","76","7","5","6","4","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Rosset M.","Vicente F.","46","53","6","4","6","3","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Schalken S.","Ivanisevic G.","37","68","6","1","4","6","6","4","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","Sell M.","Escude N.","167","34","0","6","7","6","6","1","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","1st Round","3","van Lottum J.","Woodruff C.","66","56","6","1","6","3","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","2nd Round","3","Balcells J.","Haas T.","211","11","6","4","7","5","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","2nd Round","3","Chang M.","Sell M.","50","167","4","6","6","4","7","6","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","2nd Round","3","Ferrero J.C.","Martin A.","45","48","6","7","6","2","6","4","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","2nd Round","3","Gaudio G.","Novak J.","72","38","6","4","6","7","7","6","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","2nd Round","3","Gustafsson M.","Johansson T.","60","43","6","2","6","3","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","2nd Round","3","Norman M.","Gambill J.M.","14","57","6","3","6","3","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","2nd Round","3","Rosset M.","van Lottum J.","46","66","6","3","6","2","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","2nd Round","3","Schalken S.","Behrend T.","37","115","6","4","6","1","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","Quarterfinals","3","Balcells J.","Ferrero J.C.","211","45","4","6","6","3","6","1","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","Quarterfinals","3","Chang M.","Gustafsson M.","50","60","7","5","3","6","1","0","","","","","1","1","Retired"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","Quarterfinals","3","Gaudio G.","Schalken S.","72","37","6","1","6","2","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","Quarterfinals","3","Norman M.","Rosset M.","14","46","6","2","6","2","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","Semifinals","3","Chang M.","Balcells J.","50","211","6","3","3","6","6","2","","","","","2","1","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","Semifinals","3","Norman M.","Gaudio G.","14","72","6","4","7","5","","","","","","","2","0","Completed"
"4","Auckland","Heineken Open","01/10/2000","International","Outdoor","Hard","The Final","3","Norman M.","Chang M.","14","50","3","6","6","3","7","5","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Arazi H.","Mantilla F.","42","25","6","3","6","4","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Clavet F.","Kuerten G.","39","5","6","4","3","6","6","4","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Clement A.","Zabaleta M.","55","32","4","6","6","3","6","4","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Corretja A.","Pioline C.","28","15","6","4","6","4","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Dosedel S.","Woodforde M.","69","128","6","3","6","3","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Hewitt L.","Grosjean S.","21","27","6","4","6","4","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Hrbaty D.","Ullyett K.","23","193","6","1","7","5","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Ilie A.","Costa A.","47","18","3","6","7","6","6","4","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Koubek S.","Meligeni F.","40","29","7","6","6","1","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Kucera K.","Damm M.","17","88","7","6","6","1","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Lapentti N.","El Aynaoui Y.","7","31","3","6","6","3","6","3","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Ljubicic I.","Safin M.","79","24","6","7","6","3","6","3","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Martin T.","Medvedev A.","8","33","6","1","6","7","6","3","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Stoltenberg J.","Diaz J.","94","84","6","1","6","7","6","4","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Vacek D.","Lisnard J.","41","127","6","4","7","6","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","1st Round","3","Voinea A.","Spadea V.","102","20","3","6","7","6","6","4","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","2nd Round","3","Corretja A.","Arazi H.","28","42","3","6","6","3","7","6","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","2nd Round","3","Dosedel S.","Ilie A.","69","47","6","3","7","5","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","2nd Round","3","Hewitt L.","Clavet F.","21","39","6","3","6","2","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","2nd Round","3","Kucera K.","Clement A.","17","55","6","2","6","4","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","2nd Round","3","Lapentti N.","Koubek S.","7","40","4","6","6","0","6","4","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","2nd Round","3","Ljubicic I.","Martin T.","79","8","7","6","6","4","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","2nd Round","3","Stoltenberg J.","Hrbaty D.","94","23","6","4","2","6","6","4","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","2nd Round","3","Voinea A.","Vacek D.","102","41","7","5","6","2","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","Quarterfinals","3","Corretja A.","Dosedel S.","28","69","3","6","7","5","6","3","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","Quarterfinals","3","Hewitt L.","Voinea A.","21","102","6","3","6","4","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","Quarterfinals","3","Ljubicic I.","Kucera K.","79","17","6","3","3","6","7","5","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","Quarterfinals","3","Stoltenberg J.","Lapentti N.","94","7","4","6","7","5","6","1","","","","","2","1","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","Semifinals","3","Hewitt L.","Corretja A.","21","28","6","4","6","4","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","Semifinals","3","Stoltenberg J.","Ljubicic I.","94","79","6","2","6","2","","","","","","","2","0","Completed"
"5","Sydney","Sydney International","01/10/2000","International","Outdoor","Hard","The Final","3","Hewitt L.","Stoltenberg J.","21","94","6","4","6","0","","","","","","","2","0","Completed"
"6","Melbourne","Australian Open","01/17/2000","Grand Slam","Outdoor","Hard","1st Round","5","Agassi A.","Puerta M.","1","112","6","2","6","2","6","3","","","","","3","0","Completed"
"6","Melbourne","Australian Open","01/17/2000","Grand Slam","Outdoor","Hard","1st Round","5","Alami K.","Manta L.","35","107","6","4","7","6","7","5","","","","","3","0","Completed"
"6","Melbourne","Australian Open","01/17/2000","Grand Slam","Outdoor","Hard","1st Round","5","Arazi H.","Alonso J.","41","111","6","3","7","6","6","2","","","","","3","0","Completed"
"6","Melbourne","Australian Open","01/17/2000","Grand Slam","Outdoor","Hard","1st Round","5","Behrend T.","Meligeni F.","106","28","6","2","4","6","6","7","6","3","6","0","3","2","Completed"
"6","Melbourne","Australian Open","01/17/2000","Grand Slam","Outdoor","Hard","1st Round","5","Bjorkman J.","Stoltenberg J.","76","81","6","7","6","4","6","4","0","6","6","4","3","2","Completed"
"6","Melbourne","Australian Open","01/17/2000","Grand Slam","Outdoor","Hard","1st Round","5","Black W.","Gambill J.M.","151","57","7","6","6","1","6","4","","","","","3","0","Completed"
